,_Age,_Weight,_Height,_avg_td_att,_avg_sig_str,_fights
Ross Pearson,69,58,80,8,45,10
Noad Lahat,69,54,82,23,5,4
Lucas Martins,60,54,85,2,9,4
Tim Gorman,71,50,76,14,0,2
Jonavin Webb,58,64,83,0,0,1
Liz Carmouche,71,50,78,21,5,3
Tae Hyun Bang,71,58,82,1,14,2
Soa Palelei,84,100,90,13,1,4
Mark Eddiva,67,54,80,28,4,4
Cat Zingano,73,50,78,5,4,3
Ryan Hall,69,54,83,4,9,2
Rani Yahya,69,50,78,42,6,6
Rafael Feijao,78,77,86,0,13,2
Glaico Franca,56,58,85,41,9,2
Magnus Cedenblad,73,70,89,20,9,4
Scott Jorgensen,73,50,77,28,4,5
Reza Madadi,82,58,84,25,12,3
Ben Nguyen,60,46,77,2,24,4
Felipe Arantes,63,50,80,17,22,5
Ricardo Abreu,69,70,84,0,0,1
Rustam Khabilov,65,58,80,65,21,6
Tina Lahdemaki,60,43,73,0,0,1
Hyun Gyu Lim,69,64,89,0,18,4
Horacio Gutierrez,56,54,83,0,1,2
Steve Bosse,76,77,84,0,6,3
Sean Strickland,56,64,86,18,13,6
Scott Holtzman,71,58,82,16,13,4
Masio Fullen,63,54,83,2,17,2
Ruan Potts,84,93,87,4,0,2
Melvin Guillard,71,58,82,0,0,1
Hugo Viana,73,50,78,0,16,3
Garett Whiteley,78,58,85,0,0,2
Tatiana Suarez,56,43,77,0,0,1
Sarah Moras,60,50,79,2,9,2
Enrique Barzola,58,54,79,26,8,3
Sheldon Westcott,69,64,86,18,7,3
Matthew Lopez,65,50,79,1,19,2
TJ Dillashaw,67,50,78,42,55,6
Alberto Mina,76,64,85,18,6,3
Robert Whittaker,56,70,85,8,18,8
Hector Urbina,63,64,84,0,6,3
Zak Cummings,69,64,85,15,16,7
Nick Catone,76,70,85,0,0,1
Alvaro Herrera,56,64,85,0,6,2
Bobby Nash,56,64,85,0,0,1
Johnny Bedford,73,50,83,0,0,3
Irene Aldana,60,50,82,1,24,2
Alejandro Perez,58,50,78,6,3,5
Alex Torres,60,54,83,0,0,1
Johnny Case,58,58,83,19,5,5
Damian Stasiak,58,50,80,5,4,3
Abdul Razak Alhassan,67,64,83,0,0,1
Alexis Dufresne,56,50,82,0,0,1
Mike Easton,71,50,78,2,6,2
Mike Swick,80,64,86,0,0,1
Volkan Oezdemir,58,77,86,0,58,1
Cody East,60,92,89,0,9,2
Edson Barboza,67,58,84,7,46,9
Ian Entwistle,65,50,77,0,0,2
Rogerio Nogueira,86,77,87,0,10,2
Rashid Magomedov,69,58,82,2,58,2
Takenori Sato,67,64,83,2,12,2
Albert Cheng,69,64,84,0,0,1
Joe Riggs,73,70,85,6,13,4
Norifumi Yamamoto,86,50,76,0,0,1
Vernon Ramos,52,63,82,0,0,1
Curtis Blaydes,56,100,90,17,3,3
Tateki Matsuda,67,46,79,1,4,2
Martin Svensson,67,58,86,0,0,1
Leandro Issa,71,50,79,47,13,5
Niklas Backstrom,58,54,86,0,1,3
Siyar Bahadurzada,69,64,84,0,18,1
Joe Proctor,67,58,83,0,11,5
Elias Silverio,65,58,84,8,8,3
Brendan Schaub,73,92,90,7,7,2
Thiago Alves,71,58,82,2,18,5
Jorge Masvidal,69,64,84,29,50,10
Jack Marshman,58,70,85,0,12,2
Mauricio Rua,76,77,86,4,4,4
Dileno Lopes,69,50,77,5,4,2
Dave Galera,84,50,84,0,0,1
Louis Smolka,54,46,82,56,35,9
Valerie Letourneau,73,46,79,15,33,6
Darrell Montague,63,46,78,2,6,2
Jeremy Kennedy,52,54,84,20,9,2
Mike King,71,70,89,0,0,1
Sultan Aliev,69,64,85,0,10,2
Mitch Gagnon,69,50,77,12,19,3
Elvis Mutapcic,65,70,85,0,21,3
Felipe Silva,69,58,85,0,44,1
Jimmy Wallhead,71,64,83,0,0,1
Kyle Bochniak,65,54,79,7,11,2
Johny Hendricks,71,70,82,89,14,7
Chase Sherman,58,94,90,0,12,2
Shane Howell,71,46,80,0,4,2
Nate Marquardt,80,70,85,24,23,7
Chris Wade,63,58,83,32,12,6
Jim Miller,71,58,80,26,15,9
Hector Lombard,84,64,82,2,13,2
Alex Caceres,60,54,83,10,28,8
Danny Roberts,63,64,86,0,8,3
Jared Rosholt,65,100,87,30,13,5
Holly Holm,76,54,80,1,31,5
Dustin Poirier,60,58,82,5,7,7
Masanori Kanehara,73,50,79,7,10,3
Danielle Taylor,58,43,71,1,49,2
Devin Clark,56,77,85,7,6,3
Anthony Pettis,65,54,83,4,32,6
Mark Bocek,76,58,80,0,0,1
Eric Spicely,65,70,86,9,13,3
John Hathaway,63,64,86,0,0,1
Peter Sobotta,65,64,85,14,10,4
Gunnar Nelson,60,64,84,5,8,5
Jonathan Wilson,63,77,87,0,4,3
Stevie Ray,58,58,83,1,29,5
Hayder Hassan,73,64,83,0,0,1
Amanda Nunes,60,50,80,10,15,6
Sage Northcutt,45,58,85,13,7,5
Brandon Moreno,50,46,79,1,31,2
Marc Diakiese,52,58,83,14,10,3
Hector Sandoval,65,46,73,0,8,2
Matt Van Buren,65,77,91,0,0,1
Mickael Lebout,63,58,84,0,2,3
Jim Alers,65,54,82,14,9,4
Neil Seery,80,46,76,13,20,6
Mark Munoz,84,70,85,12,0,3
Mike Pierce,78,64,80,0,35,1
Jussier Formiga,67,46,77,29,7,6
Roman Salazar,63,50,79,2,0,2
Christian Colombo,78,100,91,1,5,2
Joseph Benavidez,69,46,76,19,34,5
Norman Parke,65,58,84,53,22,6
Antonio Silva,80,99,90,1,8,5
Vik Grujic,86,64,84,8,2,4
Gregor Gillespie,65,58,82,28,6,2
Jon Jones,63,77,90,16,27,3
Claudio Puelles,43,58,84,0,0,1
Chas Skelly,67,54,84,37,12,8
Mike Jackson,69,64,87,0,0,1
Douglas Silva de Andrade,67,50,79,0,11,3
Lyoto Machida,82,70,86,4,18,5
Jake Matthews,47,58,82,43,11,7
Jeremy Kimball,56,77,85,0,1,1
Belal Muhammad,60,64,84,23,24,4
Thiago Perpetuo,63,64,83,0,0,1
Matheus Nicolau,52,46,76,5,25,2
Francimar Barroso,80,77,86,69,9,6
Marcel Fortuna,67,77,86,0,75,1
Marcin Tybura,67,94,89,5,9,3
Mark Hunt,93,100,83,2,14,7
David Michaud,60,58,82,5,9,2
Nolan Ticman,60,46,78,1,0,2
Viviane Pereira,50,43,71,0,77,1
Khalil Rountree Jr.,58,77,86,0,2,1
Erick Montano,67,64,85,13,6,3
Mike de la Torre,65,54,84,10,10,7
Ion Cutelaba,50,77,86,2,17,3
Daniel Cormier,82,77,84,35,21,7
Matt Hobar,65,50,83,8,12,3
Hacran Dias,69,54,80,35,20,5
Myles Jury,60,54,84,12,19,4
Fernando Bruno,76,54,78,14,6,2
Kyoji Horiguchi,56,46,77,22,37,7
Francisco Trinaldo,82,58,82,26,38,10
Cesar Arzamendia,56,58,84,0,0,1
Matt Wiman,71,58,83,0,0,1
Lance Benoist,60,64,84,0,0,1
Uriah Hall,69,70,85,10,22,8
Luis Henrique,50,91,87,19,6,3
Ildemar Alcantara,73,70,87,19,0,4
Fabricio Werdum,84,86,90,23,18,5
Hans Stringer,63,77,89,18,11,3
Gabriel Benitez,60,54,80,0,18,4
Chris Gruetzemacher,65,58,80,0,8,2
Charlie Ward,78,64,84,0,0,1
Bryan Caraway,69,50,80,29,14,4
Louis Gaudinot,69,46,75,0,10,2
Joe Lauzon,69,58,83,27,4,7
Ryan LaFlare,71,64,86,17,26,4
Shane Campbell,65,58,85,21,23,5
Mike Pyle,89,64,85,17,10,6
Rob Font,63,50,80,2,37,3
Valmir Lazaro,67,58,85,19,18,3
Diego Ferreira,69,58,82,5,15,4
Julian Erosa,58,54,86,4,11,2
Matt Mitrione,82,100,89,0,6,4
Corey Anderson,58,77,89,24,17,4
Leon Edwards,54,64,85,13,16,7
Jessica Eye,65,50,78,0,13,6
Mark Godbeer,71,90,87,1,1,2
Steve Montgomery,56,70,90,0,0,2
Randa Markos,67,43,76,32,7,6
Ryan Benoit,58,46,77,4,10,4
Roan Carneiro,82,64,84,4,17,4
Sarah Kaufman,67,50,77,1,19,3
Marcin Wrzosek,63,58,82,0,0,1
JC Cottrell,58,58,82,0,4,2
Viscardi Andrade,71,64,85,5,15,3
Tor Troeng,73,70,87,7,4,2
Juan Puig,58,54,82,0,0,1
Beneil Dariush,58,58,83,40,39,11
Diego Rivas,54,54,80,4,9,2
Cung Le,95,70,83,0,5,1
