B_Age,B_Weight,B_Height,B_avg_td_att,B_avg_sig_str,B_fights,R_Age,R_Weight,R_Height,R_avg_td_att,R_avg_sig_str,R_fights,winner
78,64,85,14,30,6,71,70,82,89,14,7,red
58,58,85,19,7,5,58,58,83,40,39,11,red
80,70,85,24,23,7,71,77,87,11,15,5,blue
58,64,85,7,17,5,65,58,83,15,30,6,red
65,54,82,2,5,2,56,54,80,24,5,5,red
82,58,82,26,38,10,63,58,86,33,19,5,red
67,93,87,4,1,2,69,95,87,1,1,2,blue
78,64,85,44,22,5,78,64,86,12,4,3,blue
52,54,83,1,13,2,58,54,79,26,8,3,red
65,54,84,10,10,7,60,54,84,12,19,4,red
71,54,80,9,24,6,76,54,78,59,26,6,red
58,50,79,53,29,7,73,50,77,13,39,3,red
63,54,83,2,17,2,60,54,83,10,28,8,red
54,43,76,10,11,4,69,43,76,2,7,3,red
73,92,90,7,7,2,82,90,90,3,19,8,red
50,70,84,1,16,2,78,70,89,34,5,7,red
69,58,82,5,15,4,60,58,82,80,24,7,blue
78,98,91,21,26,6,65,94,90,0,9,4,red
73,64,85,5,23,7,67,64,82,14,11,7,blue
67,54,78,23,20,4,65,54,79,4,21,4,red
56,50,82,0,0,1,60,50,79,2,9,2,red
84,70,85,42,18,6,82,70,86,4,18,5,blue
86,99,85,44,9,8,60,94,93,2,7,2,red
60,58,82,5,48,3,67,58,83,0,11,5,blue
73,50,78,8,47,3,78,50,78,21,29,6,blue
65,58,89,3,17,6,47,58,82,43,11,7,blue
63,58,83,1,31,7,67,58,83,0,11,5,blue
69,64,84,29,50,10,69,58,80,8,45,10,blue
78,46,79,19,15,4,50,46,78,18,33,7,red
69,54,83,0,0,1,60,54,80,0,18,4,red
76,58,78,67,21,5,67,58,85,19,18,3,blue
73,64,82,12,23,7,69,64,87,4,16,4,blue
76,95,95,4,0,2,69,98,89,16,9,10,red
65,46,79,5,87,2,65,46,75,69,68,7,red
73,58,83,0,7,2,60,58,84,20,10,4,red
63,70,89,0,9,1,65,77,87,15,5,5,red
67,70,85,0,0,1,76,70,87,0,0,2,red
71,58,84,11,24,8,69,58,82,46,59,2,blue
76,64,83,18,8,4,63,64,89,91,28,12,red
73,64,82,12,23,7,58,64,85,9,30,5,red
67,50,76,3,5,3,65,50,79,17,5,3,blue
71,58,84,11,24,8,82,58,83,26,10,3,blue
60,54,83,6,9,3,50,54,80,5,2,2,red
54,43,75,2,3,3,56,43,77,0,0,1,red
82,77,84,35,21,7,63,77,90,16,27,3,red
76,50,77,23,5,4,73,50,77,28,4,5,blue
78,50,79,5,9,2,60,50,80,10,15,6,red
73,90,90,43,11,7,71,90,90,1,24,3,red
56,54,80,14,7,4,58,54,84,3,17,3,red
84,70,85,42,18,6,69,70,87,46,21,5,blue
69,64,87,4,16,4,84,64,86,88,7,6,red
73,50,78,1,22,3,60,46,83,31,14,3,red
58,46,83,23,12,4,69,46,76,100,28,8,red
58,50,79,7,0,3,76,50,84,3,5,3,red
56,54,80,7,9,4,69,54,79,23,2,4,blue
69,58,85,0,44,1,65,58,85,21,23,5,blue
73,50,78,0,16,3,65,50,82,0,0,1,blue
65,54,84,0,1,2,71,54,79,10,11,5,red
69,46,77,10,11,2,82,50,78,67,24,8,blue
56,50,77,35,3,5,69,50,78,42,6,6,red
63,50,80,2,37,3,56,50,75,11,47,8,red
58,58,82,0,4,2,58,58,87,0,10,2,red
58,50,77,11,3,3,65,50,78,9,22,4,blue
73,77,87,11,11,6,65,77,91,9,14,4,red
73,58,84,0,0,1,65,58,80,0,8,2,red
76,64,84,1,29,6,71,70,82,89,14,7,red
58,77,89,24,17,4,76,77,86,4,4,4,red
63,46,78,2,6,2,56,46,77,22,37,7,red
63,43,79,2,25,5,67,43,78,17,36,5,red
65,90,89,0,3,3,56,90,89,61,4,5,blue
63,50,77,26,30,4,76,54,80,1,31,5,blue
84,70,85,0,11,5,80,70,86,45,16,7,red
52,58,83,14,10,3,58,58,84,7,6,3,blue
71,46,80,0,4,2,60,46,83,31,14,3,red
78,70,85,15,15,8,69,70,89,2,16,6,red
63,70,84,0,2,1,73,70,85,0,5,3,red
56,58,80,2,16,3,69,58,78,19,16,5,red
73,46,79,15,33,6,54,43,79,2,20,4,blue
73,58,82,16,37,3,65,54,83,4,32,6,red
69,54,83,4,9,2,80,54,80,39,9,4,blue
65,58,83,22,13,5,60,64,84,1,4,2,blue
78,43,78,22,4,2,67,43,75,1,43,4,red
63,64,84,62,13,7,65,64,85,1,1,2,blue
67,64,79,1,0,2,76,64,85,18,6,3,red
71,54,80,18,14,5,63,50,80,17,22,5,red
58,58,83,19,5,5,71,58,84,32,1,4,blue
76,70,89,0,0,2,67,70,85,0,0,1,blue
56,46,78,0,0,1,56,46,77,0,0,1,red
56,58,83,29,9,4,71,58,82,16,13,4,red
60,64,84,23,24,4,76,64,85,3,27,9,red
58,50,78,6,3,5,65,50,77,0,0,2,blue
69,58,84,10,33,8,78,64,83,29,25,5,blue
54,43,79,2,20,4,67,43,78,17,36,5,blue
63,70,82,8,5,2,60,70,86,42,41,6,red
60,58,82,3,20,8,65,54,79,4,21,4,blue
89,70,87,0,21,4,82,77,84,35,21,7,red
86,64,84,8,2,4,63,64,83,1,1,2,blue
73,54,82,13,0,3,67,54,84,37,12,8,red
82,70,86,4,22,8,89,70,87,0,21,4,blue
65,58,80,0,0,1,60,58,80,0,5,2,red
73,86,84,0,6,2,80,90,87,18,5,4,red
76,58,83,23,14,5,69,58,80,8,45,10,blue
58,54,83,44,31,7,54,54,84,4,52,10,red
80,99,90,1,8,5,93,100,83,2,14,7,red
58,46,77,4,10,4,50,46,78,18,33,7,blue
60,64,84,1,4,2,65,64,85,7,13,5,red
73,70,85,85,25,7,69,70,85,10,22,8,blue
65,70,85,0,21,3,76,70,84,13,18,5,draw
58,46,83,23,12,4,71,50,79,47,13,5,red
52,58,82,70,31,9,76,58,78,67,21,5,blue
58,64,86,9,3,3,69,64,85,13,18,7,red
71,64,87,30,36,10,63,64,84,66,27,9,no contest
50,46,76,47,16,7,54,46,82,56,35,9,blue
71,54,82,33,16,4,69,54,83,89,29,7,red
60,64,85,23,23,6,76,64,85,3,27,9,red
69,54,80,35,20,5,71,54,80,9,24,6,red
80,58,85,0,16,2,60,58,82,2,7,3,red
80,70,85,5,20,3,80,77,87,37,26,7,red
65,50,78,24,13,6,65,50,80,0,2,2,blue
67,54,80,28,4,4,58,54,85,5,10,3,red
65,54,82,45,8,5,82,54,79,8,6,3,red
73,70,85,0,5,3,69,70,85,10,22,8,red
52,54,84,20,9,2,71,54,79,10,11,5,blue
65,77,87,15,5,5,82,70,86,3,12,5,red
78,100,91,1,5,2,50,91,87,19,6,3,red
69,43,75,0,36,3,54,43,75,37,28,7,red
65,58,80,65,21,6,67,58,84,37,4,5,blue
69,70,85,10,22,8,67,70,87,20,15,11,red
71,70,86,44,15,8,78,77,86,8,7,4,blue
